,微博地址:,发布时间:,微博标题:,点赞数:,评论数,转发数,评论
10,https://m.weibo.cn/status/Iu15D9hKU?mblogid=Iu15D9hKU&luicode=10000011&lfid=1076032803301701,Thu Feb 13 16:15:55 +0800 2020,【#酒精最好用在手消毒#】中国疾控中心环境所研究员张流波：酒精应用在面积较小的物体表面消毒，大面积使用有安全隐患，应该杜绝。 人民日报的微博视频,3077,482,616,"['买不到口罩的举手！', '呼吁高福撤职！！！谎话连篇！！祸国殃民！！！', '没有酒精', '别乱给衣物消毒 万一是化纤的就……', '酒精易燃 在消毒的时候千万要注意⚠️']"
11,https://m.weibo.cn/status/Iu0Ze1LdG?mblogid=Iu0Ze1LdG&luicode=10000011&lfid=1076032803301701,Thu Feb 13 16:00:08 +0800 2020,【#全国累计报告59804例#，#全国新增15152例#】2月12日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例15152例（含湖北临床诊断病例13332例），重症病例减少174例，新增死亡病例254例（湖北242例，河南2例，天津、河北、辽宁、黑龙江、安徽、山东、广东、广西、海南、新疆生产建设兵团各1例），新增疑似病例2807例。当日新增治愈出院病例1171例，解除医学观察的密切接触者29429人。截至2月12日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例52526例（其中重症病例8030例），累计治愈出院病例5911例，累计死亡病例1367例，累计报告确诊病例59804例，现有疑似病例13435例。累计追踪到密切接触者471531人，尚在医学观察的密切接触者181386人。累计收到港澳台地区通报确诊病例78例：香港特别行政区50例（死亡1例，出院1例），澳门特别行政区10例（出院2例），台湾地区18例(出院1例)。人民日报的微博视频,2502,548,260,"['公开透明是好事情 但希望数字尽快下降吧！', '我只有一个愿望 数据透明化 不要再少报了 大家都不要掉以轻心', '2020年2.11日#全国新增确诊病例数下降48.2%# 2020年2月13日#湖北新增14840例新冠肺炎# 对此#国家卫生健康委新闻发言人米锋# 怎么看？？？', '含临床诊断。一次这么多，这说明这个月要做最终的决战了。', '不要再增了🙏🙏🙏']"
12,https://m.weibo.cn/status/Iu0WslIVg?mblogid=Iu0WslIVg&luicode=10000011&lfid=1076032803301701,Thu Feb 13 15:53:19 +0800 2020,【#消杀用品供给量充足#】13日，工业和信息化部消费品工业司副司长曹学军表示，据统计，全国消杀用品企业共563家，八四消毒液生产企业171家，日产量4597吨，开工率接近80%；手消毒液生产企业83家，日产量205吨，开工率接近50%，医用酒精生产企业94家，#医用酒精日产量906吨#，开工率97.1%。三类消杀用品目前都还有库存，相关企业开工率正在逐步提高，供给量满足需求是没有问题的，但短期来看仍存在供需结构矛盾。下一步将完善物资调拨、生产指导等各项工作体系，督促企业复工生产，确保疫情防护保障工作顺利开展。 人民日报的微博视频,4089,750,256,"['还是买不到口罩和消毒液', '充足 可是真的一直买不到', '需要口罩', '口罩口罩😷', '买不到口罩😷']"
13,https://m.weibo.cn/status/Iu0Qeq4YV?mblogid=Iu0Qeq4YV&luicode=10000011&lfid=1076032803301701,Thu Feb 13 15:37:59 +0800 2020,【出院患者#平均住院日10天左右#】国家卫生健康委医政医管局监察专员郭燕红：从7日开始，每天治愈500例，今天应该已超过5000例。治愈出院病人越来越多说明防治工作显现了成效，对500多名治愈者的分析显示，出院病人90%左右是轻型普通型，#出院病人10%是重症危重症#。 人民日报的微博视频,26776,1392,644,"['谢谢全国各地对湖北的帮助，我们都铭记于心，谢谢 希望疫情过后，如约而至的不止是春天，还有平安的你！', '希望好消息越来越多', '肺炎治疗本身就需要一段时间，至少一周时间，前面都是刚发病所以出院的少，往后肯定每天有更多出院的！', '不过也希望国家能重视一下普通人，现在还买不到口罩', '希望疫情三月结束']"
14,https://m.weibo.cn/status/Iu0LTyV85?mblogid=Iu0LTyV85&luicode=10000011&lfid=1076032803301701,Thu Feb 13 15:27:18 +0800 2020,【#钟南山团队实验室在患者粪便中分离出活病毒#】2月13日，呼吸疾病国家重点实验室副主任赵金存在广东省人民政府新闻办召开的疫情防控新闻发布会上介绍，该团队在P3实验室中，在中山大学附属第五医院一例重症感染患者粪便样本，分离了活的冠状病毒。有公共卫生意义，可以指导政策制定。赵金存介绍，这个发现不是偶然，今天李兰娟院士团队也有类似发现。患者粪便中存在活的新型冠状病毒是一个现象，提示新冠病毒传播可能有新途径，但是否会造成人与人之间传染，还要进一步研究。钟南山团队实验室在患者粪便中检出新冠活病毒,5469,690,412,"['呼吸系统还没整明白呢，又来了个消化系统，病毒病毒我劝你善良。。。。。', '老八啊，不能乱吃了！', '饭前便后勤洗手！！！', '#钟南山团队实验室在患者粪便中分离出活病毒#这件事一定要引起高度重视，防止病毒污染下水管道，楼宇的，小区的，以及市政管网，更更加强饮用水源的保护，要时时监监测下水和饮用水安全，一旦发现有活病毒！要釆取消毒杀菌措施，防止病毒大规模蔓延，导致疫情再扩大！', '钟老辛苦了……静待后续！']"
15,https://m.weibo.cn/status/Iu0Jj83NM?mblogid=Iu0Jj83NM&luicode=10000011&lfid=1076032803301701,Thu Feb 13 15:20:55 +0800 2020,【#湖北口罩日产15.8万只#】国家发展改革委产业发展司一级巡视员夏农表示，迅速组织企业恢复生产，保障口罩全产业链协调运营。2月2日以来，我国口罩产量逐日提升，截至2月11日，全国口罩产能利用率达94%，医用#N95产能利用率达128%#。湖北口罩日产从2日的4.5 万只，增长到11日的15.8万只。 人民日报的微博视频,8515,1016,225,"['还没买到的点个赞…', '108亿，不对是108万，不对是10.8万', '就算生产这么多我还是买不到', '我们这政府补贴到药房老板，按零售价卖出，每个人按身份证购买三个，不可重复购买，联网了！太好了', '可是还是买不到，还要预约2块钱的，1块钱的反而被罚']"
16,https://m.weibo.cn/status/Iu0EZCr8X?mblogid=Iu0EZCr8X&luicode=10000011&lfid=1076032803301701,Thu Feb 13 15:10:18 +0800 2020,【#新冠肺炎主要传播途径尚未变化#】国家卫健委新闻发言人米锋表示，发热、乏力、干咳仍然是最主要的临床表现，粪便中分离到病毒并不意味着该病主要传播途径发生变化，仍为呼吸道和接触传播为主，消化道的传播（包括粪口传播），在全部传播中的作用和意义仍需进一步观察和研究。 人民日报的微博视频,3671,706,434,"['这个症状 发热，乏力，干咳是同时表现出来？还是占一样？', '我最近几天突然喉咙痛咳嗽，把我吓死了', '大家买不到口罩怎么办？', '唉 希望疫情不要再大范围扩散了', '偶尔嗓子痒的时候我都不敢咳嗽憋着']"
17,https://m.weibo.cn/status/Iu0uU9d4H?mblogid=Iu0uU9d4H&luicode=10000011&lfid=1076032803301701,Thu Feb 13 14:45:25 +0800 2020,【#湖北发通告继续延迟复工开学#】据@湖北发布 ，为进一步加强疫情防控工作，有效减少人员流动聚集，阻断疫情传播，切实保障人民群众生命安全和身体健康，根据《中华人民共和国突发事件应对法》《中华人民共和国传染病防治法》和湖北省重大突发公共卫生事件I级响应机制的有关规定，现就延迟企业复工和学校开学有关事项通告如下：一、省内各类企业不早于2月20日24时前复工。涉及疫情防控必需（医疗器械、药品、防护品生产和销售等行业）、保障公共事业运行必需（供水、供电、油气、通讯等行业）、群众生活必需（超市卖场、食品生产和供应等行业）及其他涉及重要国计民生的相关企业除外。复工企业要严格落实各项疫情防控措施，依法保障劳动者合法权益。各行业主管部门要加强对企业防疫工作的指导和监督。二、省内大专院校、中小学、中职学校、技工院校、幼儿园延期开学。具体开学时间，将根据疫情防控情况，经科学评估后确定，并提前向社会公布。三、各级党政机关、事业单位要组织干部职工下沉到村（社区）基层一线，参与疫情防控工作。四、广大居民（包括在湖北探亲访友休假的外地人员）应严格遵守现居住地疫情防控要求，尽量减少出行，不参加集聚性活动，做好居家环境卫生。出入公共场所必须佩戴口罩，对不听劝阻的人员依据相关法律法规予以处理。五、各地各单位要认真落实本通告要求，强化主体责任，切实把各项疫情防控和服务保障措施抓实、抓细、抓落地，确保社会大局平稳有序。湖北省新型冠状病毒感染肺炎疫情防控指挥部2020年2月13日,6817,1012,409,"['终于来了，不然湖北人民要吓死了\U0001f92f', '有一说一，别的省市比湖北还严格。。', '看看湖北考研初试成绩叭求求了', '在湖北的外地人怎么回去复工复产？@人民日报', '怪不得一晚上增加1万多，原来是为了盘账、理库存。毕竟换了掌柜，不能把老账算到新掌柜身上，这锅背不住..…']"
18,https://m.weibo.cn/status/Iu0s64Fsf?mblogid=Iu0s64Fsf&luicode=10000011&lfid=1076032803301701,Thu Feb 13 14:38:30 +0800 2020,【“我问你你是中国人伐？”#民警怒斥口罩诈骗嫌疑人#】近日，上海警方抓获一名诈骗嫌疑人。该男子自称有私人飞机可从国外运回口罩，有爱心人士欲购买大量口罩捐给疫情严重地区，预付了16万元订金却被其用于奢侈消费。面对其百般抵赖不愿配合的态度，民警开启了“硬核”审讯模式！警民直通车-闵行的微博视频,58782,5511,2851,"['只有我感觉警察小哥哥很帅吗', '既然拿到绿卡了，那就把中国身份注销掉吧。', '我觉得这个警察小哥哥好帅(小声)', '硬核民警', '不配当中国人']"
19,https://m.weibo.cn/status/Iu0osiMQI?mblogid=Iu0osiMQI&luicode=10000011&lfid=1076032803301701,Thu Feb 13 14:29:33 +0800 2020,【四川内江一患者#集中隔离第19天出现症状#】2月13日，四川@内江市卫生健康委 通报，新增1例确诊病例患者，是在被集中隔离医学观察第19天出现症状，随后被确诊的。患者李某，女，22岁，现住内江市资中县球溪镇。为1月24日确诊病例魏某的侄女，与魏某有密切接触，1月24日被集中隔离医学观察，2月11日出现发热、咳嗽等症状，随即被收治到定点医疗机构隔离治疗，2月12日核酸检测阳性。,4692,792,317,"['病毒太鸡贼了……', '19天……', '难道第三代第四代被传染到的人 潜伏期会更长？', '这种极个别的病例被迅速大量转发，却极少有媒体告知公众中位数是三天……', '19天…']"
20,https://m.weibo.cn/status/Iu09SpQ9C?mblogid=Iu09SpQ9C&luicode=10000011&lfid=1076032803301701,Thu Feb 13 13:53:38 +0800 2020,【#全国首例儿童新冠肺炎重症患者治愈#】被确诊为新冠肺炎重症患者、1岁2个多月的刘新已治愈，今日可出院。刘新小朋友是全国首例治愈出院的新冠肺炎儿童重症患者。刘新春节前出现感冒、拉肚子等症状。其家属说，1月24日（大年三十），孩子患病症状加剧，紧急送往武汉儿童医院救治。独家！全国首例儿童新冠肺炎重症患者在武汉治愈,4446,431,247,"['哎，要保护好小朋友啊', '小朋友一定要健健康康啊！！！苦了孩子了……', '希望此次疫情过后，“十部委”为此前的医疗改革政策检讨，此前全面压制公有制机构，为私有制医院扩张提供各种资源政策，结果呢，关键时刻靠谁？还是靠“医改漏网”的公有制医院和解放军！！！', '是大好消息，小朋友要健健康康的', '太好了！！！']"
21,https://m.weibo.cn/status/Iu04CuCtE?mblogid=Iu04CuCtE&luicode=10000011&lfid=1076032803301701,Thu Feb 13 13:40:41 +0800 2020,【#重庆出现四代感染病例#，#重庆三代感染病例占比明显增高#】重庆市卫健委官网2月13日发布截至2020年2月12日24时重庆市新冠肺炎疫情情况时称，新增病例中，三代感染病例占比明显增高，溯源还发现2月10日该市首次出现2例四代感染病例，传染链条延长，防控难度进一步加大。网页链接,10560,1534,925,"['……就怕还有很多这样的……', '请问三代四代的毒性，是递增的还是递减的？', '重庆zf闷声做事 支援湖北也是低调的整从不买热搜', '？？？重庆人害怕极了', '重庆工作做的很细致，湖北武汉流入这么多人的情况下（是北上深的4倍），疫情控制的人数和北上深差不多，如果没有瞒报就是真的做的极好，花了大功夫']"
22,https://m.weibo.cn/status/ItZhQ5gNe?mblogid=ItZhQ5gNe&luicode=10000011&lfid=1076032803301701,Thu Feb 13 11:40:30 +0800 2020,【#日本钻石公主号新增44例确诊# #日本钻石公主号累计确诊218例#】据中国日报网，日本放送协会(NHK)报道，日本政府表示，正停泊在日本横滨近海的游轮“钻石公主”号上，新增44例新型冠状病毒感染病例。报道称，游轮上累计确诊病例已达218例。,105539,5172,1779,"['这个邮轮成了噩梦邮轮', '中央空调、密闭空间、人员密集，全赶一块了', '十年之内，奥斯卡预订', '真恐怖游轮？', '国家卫建委的曾光和高福何时处理？']"
23,https://m.weibo.cn/status/ItYQpyks8?mblogid=ItYQpyks8&luicode=10000011&lfid=1076032803301701,Thu Feb 13 10:32:56 +0800 2020,【#天津公开第三例死亡病例抢救措施#】据@天津发布 ，2月12日晚8时许，本市一名新冠肺炎确诊病例突发间断憋气、复查氧合指数下降，一直在海河医院救治现场值守的市新冠肺炎救治专家组组长吴琦等带队奋力抢救，终因新冠肺炎导致呼吸衰竭和低氧血症诱发室性心律失常死亡，为本市第三例死亡病例。死亡病例为第68例患者，女，64岁，为宝坻百货大楼确诊病例密切接触者，2月5日确诊为新型冠状病毒肺炎入住海河医院治疗。患者伴有冠心病史9年。入院后患者间断发热，体温最高38.5℃，氧合指数171mmHg，复查胸部CT提示双肺病变进展明显，重新修正诊断为新型冠状病毒肺炎（危重型），持续予高流量吸氧，并予抗炎治疗、提高免疫力治疗。2月7日至11日，实验室各项检查和胸片检查显示病情逐渐加重。2月9日患者氧合指数降至68mmHg，给予无创呼吸机与高流量吸氧交替使用等手段，血氧饱和度较前有所改善。该患者作为重点监管，每天市医疗救治专家组按照多名专家对一名患者的超级“一人一策”，随时会商研究患者病情变化，多次及时调整针对性强的个性化诊疗方案。2月12日20时许，患者间断憋气，复查氧合指数降至53.1， 20:09突发严重的心脏室颤。一直在现场24小时值守的市新冠肺炎救治专家组组长吴琦、重症专家徐磊和心血管专家丛洪良等，立即全力开展抢救，第一时间给予注射强心药物、胸外按压和电除颤、给予气管插管和呼吸机辅助治疗等急救措施。治疗效果不显著，于21:19宣布临床死亡。死亡原因：新冠肺炎导致呼吸衰竭和低氧血症诱发室性心律失常、心脏骤停。死亡诊断：1.新冠肺炎(危重型)；2.I型呼吸衰竭；3.冠心病；4.室性心律失常。,60011,4595,3168,"['天津这次做的真不错 从抄作业到做完作业给别人抄 消息也很透明', '主要还是因为有其他并发症', '天津真的很负责了 播报得这么细致', '加油 我们天津', '所以平时增强免疫力还是非常重要的']"
24,https://m.weibo.cn/status/ItYLgnPFd?mblogid=ItYLgnPFd&luicode=10000011&lfid=1076032803301701,Thu Feb 13 10:20:15 +0800 2020,【#西藏连续14天无新增病例#，#西藏现有病例为0#】西藏自治区卫健委13上午发布新型冠状病毒感染的肺炎疫情情况：截至2月12日24时，西藏自治区现有确诊病例0例，重症病例0例，死亡病例0例，疑似病例0例，治愈出院病例1例。累计确诊新型冠状病毒感染的肺炎病例1例。因此，西藏自治区已经连续14天没有新增确诊病例或疑似病例报告。2月12日下午，西藏唯一的确诊病例治愈出院。（邓建胜）,52347,2366,667,"['西藏成功吃鸡', '西藏一定可以稳到最后！！！', '一片净土，西藏', '西藏已经高高兴兴退出群聊', '西藏青海好样的']"
25,https://m.weibo.cn/status/ItYKq8lth?mblogid=ItYKq8lth&luicode=10000011&lfid=1076032803301701,Thu Feb 13 10:18:10 +0800 2020,"【#北京新增14例新冠肺炎确诊病例#，#北京累计确诊366例#】2月12日0时至24时，北京市新增14例新冠肺炎确诊病例。14例均为确诊病例的密切接触者,其中1例既有湖北接触史又是确诊病例的密切接触者。均已送至定点医疗机构进行救治。现有疑似病例194例，新增密切接触者163例，累计确定密切接触者1702例，其中766例已解除医学观察。出院12例。截至2月12日24时,本市累计确诊病例366例。其中出院68例，死亡3例，295例在定点医院进行隔离治疗。东城区12例、西城区46例、朝阳区56例、海淀区56例、丰台区36例、石景山区13例、门头沟区3例、房山区14例、通州区17例、顺义区10例、昌平区24例、大兴区38例、怀柔区7例、密云区7例、延庆区1例，外地来京人员26例。平谷区尚未有病例。",3078,567,258,"['首都挺住！！！！！', '#北京新增14例新冠肺炎确诊病例#确诊病例数已经不是很重要，看到的好消息就是新发病例都是确诊的密接，真是个好消息🙏，没有散发病例，一切尽在掌握！@北京人不知道的北京事儿 @北京攻略君', '昌平疯了？', '好多人都回去上班了，不知道会不会爆发…', '全国确诊10000个的时候我紧张的要命，现在一天10000了，我反而没啥感觉了…']"
26,https://m.weibo.cn/status/ItYFzyCF1?mblogid=ItYFzyCF1&luicode=10000011&lfid=1076032803301701,Thu Feb 13 10:06:14 +0800 2020,【#青海一周无新增#】记者从青海省卫健委获悉，2月12日0-24时，青海省报告新型冠状病毒肺炎新增确诊病例0例，新增重症病例0例，新增死亡病例0例，新增出院病例4例。当日无新增确诊病例和疑似病例。截至2月12日24时，青海省累计报告新型冠状病毒肺炎确诊病例18例，其中：重症病例3例，死亡病例0例，出院病例9例。累计确诊病例中，西宁市15例，海北州3例。尚有9例确诊患者住院治疗。目前累计追踪到密切接触者436人，已解除医学观察70人，尚有366人正在接受医学观察。（姜峰）,6213,645,269,"['青海稳住 跟上西藏的步伐！', '青海第一名', '加油，青海兄弟，内蒙古也要跟上来', '其他省市都有好转，除了湖北🤔 怎么还有那么多的数字啊😱', '太好了太好了']"
